name,change,rent_median,density,color,percent_change,2016pop,size
Mannheim,1500.0000000000007,8.57,2109,22,15.0,305780,0.0868685531462649
Neckar-Odenwald-Kreis,1215.1777137367922,5.84,126,21,12.2,142936,0.04060646056810295
Rhein-Neckar-Kreis,1361.1615245009073,7.83,510,22,13.6,541859,0.15393586022395825
Pforzheim,2070.359886777194,7.46,1247,22,20.7,122247,0.03472895551203953
Calw,1216.27408993576,6.55,194,21,12.2,155359,0.044135690850449896
Enzkreis,1440.2284781721737,7.01,341,22,14.4,196066,0.05570007764136168
Freudenstadt,1063.0630630630628,6.14,133,21,10.6,116233,0.03302044783128331
Freiburg im Breisgau,755.9131919044139,11.03,1479,13,7.6,226393,0.064315626765787
Breisgau-Hochschwarzwald,2141.372141372141,8.76,186,22,21.4,257343,0.07310816296788296
Emmendingen,2388.88888888889,8.36,238,22,23.9,162082,0.046045617211893874
Ortenaukreis,1811.3207547169811,7.04,226,22,18.1,420106,0.11934724438506365
Rottweil,1144.0107671601618,6.21,178,21,11.4,137500,0.039062155986694436
Schwarzwald-Baar-Kreis,1657.9406631762638,6.68,204,21,16.6,209648,0.059558566387625564
Tuttlingen,1928.3502874834141,6.74,186,21,19.3,136606,0.03880818095067913
Konstanz,2665.3821451509302,9.86,342,32,26.7,280288,0.07962657147053534
Konstanz,2665.3821451509302,9.86,342,32,26.7,280288,0.07962657147053534
Lörrach,2845.9173214895804,9.4,281,32,28.5,226708,0.06440511461404744
Waldshut,2497.9423868312756,7.59,148,22,25.0,167861,0.04768736411696374
Reutlingen,1591.9205751454977,8.46,274,22,15.9,282113,0.08014503281363147
Tübingen,1660.9748525302707,9.39,427,22,16.6,221837,0.06302131998269334
Zollernalbkreis,1947.3445301861095,6.58,205,21,19.5,188595,0.05357765315135009
Ulm,1088.9894419306183,9.19,1033,22,10.9,122636,0.03483946590243097
Alb-Donau-Kreis,1733.7584695097653,7.36,141,22,17.3,192104,0.05457451937213053
Biberach,2206.2552831783596,7.22,137,22,22.1,194019,0.05511854867187249
Bodenseekreis,1743.2347388294525,9.33,319,22,17.4,212201,0.06028384409114579
Ravensburg,2140.137090632139,7.97,171,22,21.4,279296,0.0793447557706168
Sigmaringen,1384.7628174413035,5.94,108,21,13.8,130772,0.03715080918321458
Ingolstadt,2615.9977227440922,11.08,993,33,26.2,132438,0.03762410046956973
München,2128.6161063330733,15.51,4668,23,21.3,1450381,0.41203642808827534
Rosenheim,2357.1197933484027,9.57,1661,22,23.6,61844,0.01756916345339004
Altötting,1681.117533718689,6.06,190,21,16.8,108485,0.03081933085248397
Berchtesgadener Land,1377.0959686050658,7.97,123,22,13.8,103907,0.029518774124432427
Bad Tölz-Wolfratshausen,1517.4640446140306,9.81,112,22,15.2,124930,0.035491164708492624
Dachau,2030.4287690179815,10.87,257,23,20.3,149370,0.04243428537987307
Ebersberg,1850.8437670114308,10.88,250,23,18.5,137421,0.03903971300252754
Eichstätt,4439.252336448598,9.27,106,32,44.4,128805,0.036592007286299466
Erding,2320.051413881749,9.59,153,22,23.2,133747,0.037995972194563056
Freising,1681.0592976396074,10.14,216,22,16.8,173225,0.049211214333055586
Fürstenfeldbruck,1897.694142592103,11.22,490,23,19.0,213481,0.060647477252331015
