id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016
05754,Gütersloh,6.38,16.8,21,5.465,5.62,5.9275,6.05,6.385
05758,Herford,5.31,7.1,11,4.96,5.0,5.0,5.0525,5.3125
05762,Höxter,4.55,11.4,21,4.085,4.1625,4.365,4.46,4.55
05766,Lippe,5.46,9.2,11,5.0,5.11,5.2075,5.2925,5.46
05770,Minden-Lübbecke,5.61,12.6,21,4.98,4.9875,5.1175,5.375,5.6075
05774,Paderborn,6.49,18.2,21,5.4875,5.885,6.08,6.1875,6.4875
05911,Bochum,6.21,11.9,21,5.55,5.615,5.705,5.86,6.21
05913,Dortmund,6.41,20.8,21,5.3,5.4875,5.8175,6.04,6.405
05914,Hagen,5.16,6.6,11,4.8375,4.89,4.9275,4.99,5.155
05915,Hamm,5.69,13.8,21,5.0,5.0475,5.23,5.4425,5.6875
05916,Herne,5.44,9.3,11,4.98,5.025,5.175,5.265,5.4425
05954,Ennepe-Ruhr-Kreis,5.83,8.0,11,5.4025,5.42,5.58,5.6425,5.835
05958,Hochsauerlandkreis,5.03,9.7,11,4.5875,4.685,4.76,4.955,5.0325
05962,Märkischer Kreis,5.29,6.1,11,4.9825,4.9925,5.1225,5.21,5.285
05966,Olpe,5.99,11.1,21,5.395,5.555,5.545,5.7025,5.9925
05970,Siegen-Wittgenstein,6.18,6.7,11,5.7975,5.9125,6.025,6.085,6.185
05974,Soest,5.68,9.9,21,5.1725,5.39,5.445,5.4875,5.685
05978,Unna,5.57,11.3,21,5.0,5.0375,5.2375,5.35,5.5675
06411,Darmstadt,10.11,10.0,22,9.195,9.405,9.525,9.9025,10.1125
06412,Frankfurt am Main,12.71,13.2,23,11.2225,11.7825,11.93,12.235,12.705
06413,Offenbach am Main,9.48,21.8,22,7.785,8.055,8.4275,8.9025,9.4825
06414,Wiesbaden,9.73,12.4,22,8.66,9.0225,9.2125,9.335,9.73
06431,Bergstraße,7.26,12.2,22,6.4725,6.4275,6.6275,6.92,7.265
06432,Darmstadt-Dieburg,7.72,9.1,12,7.0775,7.175,7.435,7.4225,7.725
06433,Groß-Gerau,8.73,14.2,22,7.64,7.8625,7.975,8.21,8.7275
06434,Hochtaunuskreis,9.93,10.0,22,9.0325,9.1975,9.43,9.6775,9.9325
06435,Main-Kinzig-Kreis,7.44,12.7,22,6.6025,6.6575,6.84,7.0475,7.4425
06436,Main-Taunus-Kreis,9.76,11.9,22,8.7225,8.9875,9.165,9.3975,9.7625
06437,Odenwaldkreis,5.87,8.7,11,5.4025,5.5475,5.6775,5.7725,5.8725
06438,Offenbach,8.62,10.7,22,7.7875,7.9425,8.155,8.365,8.6175
06439,Rheingau-Taunus-Kreis,7.96,13.9,22,6.9925,7.15,7.4325,7.6075,7.965
06440,Wetteraukreis,7.62,10.6,22,6.895,6.9225,7.1675,7.305,7.625
06531,Gießen,7.61,20.2,22,6.3275,6.41,6.7875,6.9925,7.605
06532,Lahn-Dill-Kreis,6.05,11.5,21,5.425,5.575,5.6325,5.8175,6.05
06533,Limburg-Weilburg,6.0,12.8,21,5.3175,5.28,5.555,5.6875,5.9975
06534,Marburg-Biedenkopf,8.44,21.6,22,6.9425,7.1875,7.1225,7.78,8.4425
06535,Vogelsbergkreis,4.87,8.1,11,4.5075,4.5825,4.645,4.695,4.8725
06611,Kassel,7.0,18.2,22,5.9225,6.4725,6.765,6.8425,7.0025
06631,Fulda,6.21,18.5,21,5.24,5.5025,5.6825,5.7675,6.2075
06632,Hersfeld-Rotenburg,5.05,12.5,21,4.4875,4.6525,4.78,4.915,5.05
06633,Kassel,5.87,16.2,21,5.0475,5.2575,5.4625,5.6075,5.865
06634,Schwalm-Eder-Kreis,4.89,6.7,11,4.5875,4.6925,4.75,4.885,4.895
06635,Waldeck-Frankenberg,5.0,12.2,21,4.455,4.64,4.7225,4.84,5.0
06636,Werra-Meißner-Kreis,4.6,9.2,11,4.215,4.32,4.505,4.5425,4.6025
07111,Koblenz,7.34,21.5,22,6.045,6.12,6.525,6.8625,7.345
07131,Ahrweiler,6.38,15.5,21,5.5225,5.845,6.1425,6.165,6.3775
07132,Altenkirchen (Westerwald),5.02,7.0,11,4.6875,4.71,4.7275,4.875,5.0175
07133,Bad Kreuznach,6.13,10.8,21,5.5325,5.6625,5.7325,6.0,6.13
07134,Birkenfeld,4.62,3.5,11,4.4625,4.475,4.4675,4.54,4.62
07135,Cochem-Zell,4.95,11.7,21,4.4325,4.495,4.5725,4.6375,4.95
07137,Mayen-Koblenz,5.71,13.7,21,5.0175,5.0775,5.2475,5.4625,5.705
07138,Neuwied,5.68,10.8,21,5.1275,5.295,5.2975,5.4575,5.68
07140,Rhein-Hunsrück-Kreis,5.06,14.3,21,4.4275,4.515,4.675,4.745,5.0625
07141,Rhein-Lahn-Kreis,5.35,7.0,11,5.0,4.9175,5.06,5.37,5.3475
07143,Westerwaldkreis,5.67,15.7,21,4.9025,5.02,5.0925,5.13,5.6725
07211,Trier,8.6,8.7,12,7.91,8.1475,8.135,8.5,8.6
07231,Bernkastel-Wittlich,5.52,10.4,21,5.0,5.2,5.51,5.5075,5.5225
07232,Eifelkreis Bitburg-Prüm,6.12,4.1,11,5.8825,5.7475,5.9875,6.145,6.125
07233,Vulkaneifel,4.99,11.5,21,4.4725,4.77,4.7575,4.95,4.9875
07235,Trier-Saarburg,6.81,13.3,21,6.01,6.315,6.425,6.56,6.8075
07311,Frankenthal (Pfalz),6.75,12.3,21,6.0125,6.1525,6.4375,6.545,6.755
07312,Kaiserslautern,6.51,13.7,21,5.7275,5.9675,6.065,6.0625,6.5125
07313,Landau in der Pfalz,7.92,24.3,22,6.37,6.8875,7.145,7.355,7.915
07314,Ludwigshafen am Rhein,7.55,16.1,22,6.505,6.7225,7.0075,7.2725,7.55
07315,Mainz,10.33,12.6,22,9.175,9.6125,9.7975,10.0,10.3275
07316,Neustadt an der Weinstraße,6.92,10.6,22,6.2575,6.45,6.56,6.7475,6.92
07317,Pirmasens,4.36,6.9,11,4.08,4.0875,4.155,4.26,4.3625
07318,Speyer,8.05,13.1,22,7.1175,7.3725,7.4925,7.5175,8.0475
07319,Worms,7.06,18.2,22,5.9725,6.155,6.4225,6.56,7.0575
07320,Zweibrücken,5.03,5.9,11,4.75,4.745,4.945,4.965,5.03
07331,Alzey-Worms,6.33,13.9,21,5.56,5.6475,5.9325,6.115,6.3325
07332,Bad Dürkheim,6.62,12.1,21,5.9,6.145,6.27,6.5175,6.615
07333,Donnersbergkreis,5.47,10.2,21,4.97,5.1825,5.22,5.43,5.475
07334,Germersheim,6.93,15.0,22,6.0275,5.975,6.3025,6.57,6.9325
07335,Kaiserslautern,5.72,5.3,11,5.4275,5.5325,5.5975,5.5725,5.7175
07336,Kusel,4.95,5.0,11,4.7075,4.8875,4.9675,4.8875,4.945
07337,Südliche Weinstraße,6.41,12.3,21,5.7125,5.8675,5.995,6.2275,6.4125
07338,Rhein-Pfalz-Kreis,6.92,11.3,22,6.2175,6.4625,6.51,6.7275,6.92
07339,Mainz-Bingen,7.81,16.7,22,6.69,7.04,7.3925,7.555,7.81
07340,Südwestpfalz,4.79,2.8,11,4.655,4.66,4.5825,4.675,4.785
